"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link"
"Speeter Thomas H.","Speeter, Thomas H. (6508207342)","6508207342","Primitive based control of the Utah/MIT dextrous hand","1991","Proceedings - IEEE International Conference on Robotics and Automation","1","","","866","877","11","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025754473&partnerID=40&md5=52ead9bfcec5031fb94ab4b3ee620b7f"
"Rengevic A.; Kumicakova D.","Rengevic, Alexander (57156605400); Kumicakova, Darina (55597757200)","57156605400; 55597757200","New possibilities of robot arm motion simulation","2016","Communications - Scientific Letters of the University of Žilina","18","1 a","","81","86","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959899871&partnerID=40&md5=9750d89933262413ebb3213040c0aa20"
"Bentivegna D.C.; Atkeson C.G.","Bentivegna, D.C. (6603314042); Atkeson, C.G. (35560635200)","6603314042; 35560635200","Learning from observation using primitives","2001","Proceedings - IEEE International Conference on Robotics and Automation","2","","","1988","1993","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034861043&partnerID=40&md5=b60f6fe9fc10bf4aa8054ae441727403"
"Gelles A.","Gelles, Abby (6508049808)","6508049808","Whither the home robot? - A personal opinion","1982","Microprocessing and Microprogramming","9","5","","285","288","3","10.1016/0165-6074(82)90007-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020132552&doi=10.1016%2f0165-6074%2882%2990007-2&partnerID=40&md5=b18b45e2d4a9b68bc38c843aed495e34"
"Duarte L.; Neto P.","Duarte, Laura (57282354300); Neto, Pedro (35243406700)","57282354300; 35243406700","Event-based dataset for the detection and classification of manufacturing assembly tasks","2024","Data in Brief","54","","110340","","","","10.1016/j.dib.2024.110340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188690248&doi=10.1016%2fj.dib.2024.110340&partnerID=40&md5=2236334a67b4df477b1e6dddb9523e1e"
"Flocchini P.; Prencipe G.; Santoro N.; Viglietta G.","Flocchini, Paola (7003771258); Prencipe, Giuseppe (57190866270); Santoro, Nicola (35303308800); Viglietta, Giovanni (55245784500)","7003771258; 57190866270; 35303308800; 55245784500","Distributed computing by mobile robots: uniform circle formation","2017","Distributed Computing","30","6","","413","457","44","10.1007/s00446-016-0291-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000764490&doi=10.1007%2fs00446-016-0291-x&partnerID=40&md5=1083f40daba48fb181717c656a2fdc8e"
"Zhang X.; Jin S.; Wang C.; Zhu X.; Tomizuka M.","Zhang, Xiang (55849128200); Jin, Shiyu (57215560879); Wang, Changhao (57207943015); Zhu, Xinghao (57215559743); Tomizuka, Masayoshi (35567325500)","55849128200; 57215560879; 57207943015; 57215559743; 35567325500","Learning Insertion Primitives with Discrete-Continuous Hybrid Action Space for Robotic Assembly Tasks","2022","Proceedings - IEEE International Conference on Robotics and Automation","","","","9881","9887","6","10.1109/ICRA46639.2022.9811973","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136108623&doi=10.1109%2fICRA46639.2022.9811973&partnerID=40&md5=61b806c44e5a36520612d6a75e1f1589"
"Vinayavekhin P.; Kudoh S.; Takamatsu J.; Sato Y.; Ikeuchi K.","Vinayavekhin, Phongtharin (36803011100); Kudoh, Shunsuke (7103070515); Takamatsu, Jun (35243684200); Sato, Yoshihiro (55728744400); Ikeuchi, Katsushi (35208602900)","36803011100; 7103070515; 35243684200; 55728744400; 35208602900","Representation and mapping of dexterous manipulation through task primitives","2013","Proceedings - IEEE International Conference on Robotics and Automation","","","6631100","3722","3729","7","10.1109/ICRA.2013.6631100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887298863&doi=10.1109%2fICRA.2013.6631100&partnerID=40&md5=ad343bcba5a45354f9020827e4d56593"
"Cao Y.; Lee C.S.G.","Cao, Yue (58374146400); Lee, C.S. George (57221077622)","58374146400; 57221077622","Robot Behavior-Tree-Based Task Generation with Large Language Models","2023","CEUR Workshop Proceedings","3433","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166473281&partnerID=40&md5=2e211d7044d765a88d8ca46749237b52"
"Laha R.; Figueredo L.F.C.; Vrabel J.; Swikir A.; Haddadin S.","Laha, Riddhiman (57354373100); Figueredo, Luis F.C. (57217856344); Vrabel, Juraj (57471478300); Swikir, Abdalla (57190489133); Haddadin, Sami (23008499000)","57354373100; 57217856344; 57471478300; 57190489133; 23008499000","Reactive Cooperative Manipulation based on Set Primitives and Circular Fields","2021","Proceedings - IEEE International Conference on Robotics and Automation","2021-May","","","6577","6584","7","10.1109/ICRA48506.2021.9561985","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119959441&doi=10.1109%2fICRA48506.2021.9561985&partnerID=40&md5=1f25fc3656943b3b38599c8cf561ac62"
"Khiter B.; Hentout A.; Boutellaa E.; Benbouali M.R.; Bouzouia B.","Khiter, B. (55817110500); Hentout, A. (24721256800); Boutellaa, E. (55533415300); Benbouali, M.R. (56012732200); Bouzouia, B. (6602694007)","55817110500; 24721256800; 55533415300; 56012732200; 6602694007","Internet-based telerobotics of mobile manipulators: Application on RobuTER/ULM","2012","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7507 LNAI","PART 2","","635","644","9","10.1007/978-3-642-33515-0_62","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892888710&doi=10.1007%2f978-3-642-33515-0_62&partnerID=40&md5=5ec65f7f2475795ae3a6db0ded2f96dc"
"Hong S.; Park G.; Lee Y.; Lee W.; Choi B.; Sim O.; Oh J.-H.","Hong, Seongil (55488167400); Park, Gyuhyun (57188639687); Lee, Youngwoo (57212624595); Lee, Wonsuk (57189395312); Choi, Byunghun (36245970600); Sim, Okkee (56958458700); Oh, Jun-Ho (7402155481)","55488167400; 57188639687; 57212624595; 57189395312; 36245970600; 56958458700; 7402155481","Development of a tele-operated rescue robot for a disaster response","2018","International Journal of Humanoid Robotics","15","4","1850008","","","","10.1142/S0219843618500081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044208529&doi=10.1142%2fS0219843618500081&partnerID=40&md5=cda6853c3c92c1a1e96ce59f4d3f889e"
"Drumwright E.; Ng-Thow-Hing V.","Drumwright, Evan (7801395682); Ng-Thow-Hing, Victor (6508078821)","7801395682; 6508078821","The task matrix: An extensible framework for creating versatile humanoid robots","2006","Proceedings - IEEE International Conference on Robotics and Automation","2006","","1641752","448","455","7","10.1109/ROBOT.2006.1641752","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845669620&doi=10.1109%2fROBOT.2006.1641752&partnerID=40&md5=475a3605eb4e4aa0ef111366580d9846"
"Pan Z.; Yu Y.","Pan, Zaolin (57221966145); Yu, Yantao (57192163569)","57221966145; 57192163569","Learning multi-granular worker intentions from incomplete visual observations for worker-robot collaboration in construction","2024","Automation in Construction","158","","105184","","","","10.1016/j.autcon.2023.105184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183362687&doi=10.1016%2fj.autcon.2023.105184&partnerID=40&md5=1941c688794148a29528d341f13db469"
"Uchibe E.; Doya K.","Uchibe, Eiji (6603720332); Doya, Kenji (7004163287)","6603720332; 7004163287","Combining learned controllers to achieve new goals based on linearly solvable MDPs","2014","Proceedings - IEEE International Conference on Robotics and Automation","","","6907631","5252","5259","7","10.1109/ICRA.2014.6907631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920894651&doi=10.1109%2fICRA.2014.6907631&partnerID=40&md5=1d9665ad4341604e5a18ffaf9bd956f1"
"Wang Y.; Sun H.; Chen G.; Jia Q.; Yu B.","Wang, Yifan (58747764000); Sun, Hanxu (7404828122); Chen, Gang (57198649430); Jia, Qingxuan (55797740600); Yu, Boyang (57191203109)","58747764000; 7404828122; 57198649430; 55797740600; 57191203109","Hierarchical Task Planning for Multiarm Robot with Multiconstraint","2016","Mathematical Problems in Engineering","2016","","2508304","","","","10.1155/2016/2508304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987888615&doi=10.1155%2f2016%2f2508304&partnerID=40&md5=b3906b8d89547e5db03566c7aab91944"
"Gadre S.Y.; Rosen E.; Chien G.; Phillips E.; Tellex S.; Konidaris G.","Gadre, Samir Yitzhak (57210793962); Rosen, Eric (57195424425); Chien, Gary (57208341323); Phillips, Elizabeth (36025620100); Tellex, Stefanie (7801643708); Konidaris, George (14822243500)","57210793962; 57195424425; 57208341323; 36025620100; 7801643708; 14822243500","End-user robot programming using mixed reality","2019","Proceedings - IEEE International Conference on Robotics and Automation","","","8793988","2707","2713","6","10.1109/ICRA.2019.8793988","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071504755&doi=10.1109%2fICRA.2019.8793988&partnerID=40&md5=3006c98a8eb9f3a8ff5031023a5f581e"
"Lausen H.; Nielsen J.; Nielsen M.; Lima P.","Lausen, Hans (56891237800); Nielsen, Jakob (56890227300); Nielsen, Michael (57225722729); Lima, Pedro (35550404900)","56891237800; 56890227300; 57225722729; 35550404900","Model and behavior-based robotic goalkeeper","2004","Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science)","3020","","","169","180","11","10.1007/978-3-540-25940-4_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943270631&doi=10.1007%2f978-3-540-25940-4_15&partnerID=40&md5=4534060b2c7e54911f409b38b20bc355"
"Lima P.; Ventura R.; Aparício P.; Custódio L.","Lima, Pedro (35550404900); Ventura, Rodrigo (7102796668); Aparício, Pedro (7004756312); Custódio, Luis (6602677229)","35550404900; 7102796668; 7004756312; 6602677229","A functional architecture for a team of fully autonomous cooperative robots","2000","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","1856","","","378","389","11","10.1007/3-540-45327-x_31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944906692&doi=10.1007%2f3-540-45327-x_31&partnerID=40&md5=a0b0569260824c48dbf2203dfb8ba225"
"Flocchini P.; Prencipe G.; Santoro N.; Viglietta G.","Flocchini, Paola (7003771258); Prencipe, Giuseppe (57190866270); Santoro, Nicola (35303308800); Viglietta, Giovanni (55245784500)","7003771258; 57190866270; 35303308800; 55245784500","Distributed computing by mobile robots: Solving the uniform circle formation problem","2014","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8878","","","217","232","15","10.1007/978-3-319-14472-6_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917670495&doi=10.1007%2f978-3-319-14472-6_15&partnerID=40&md5=8582249c8ce53d33ec8b9332d1dc4755"
"Cieliebak M.; Flocchin P.; Prencipe G.; Santoro N.","Cieliebak, Mark (58303101000); Flocchin, Paola (55360230400); Prencipe, Giuseppe (57190866270); Santoro, Nicola (35303308800)","58303101000; 55360230400; 57190866270; 35303308800","Distributed computing by mobile robots: Gathering","2012","SIAM Journal on Computing","41","4","","829","879","50","10.1137/100796534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866426162&doi=10.1137%2f100796534&partnerID=40&md5=8031ac18e4d68c2348c939036f346150"
"Lima P.U.; Saridis G.N.","Lima, Pedro U. (35550404900); Saridis, George N. (7006949080)","35550404900; 7006949080","Learning optimal robotic tasks","1996","IEEE Expert-Intelligent Systems and their Applications","11","2","","38","45","7","10.1109/64.491280","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030127486&doi=10.1109%2f64.491280&partnerID=40&md5=115699fdb9f695c99f9dd0c9b37b0605"
"Hong S.; Lee W.S.; Kang Y.S.; Park Y.W.","Hong, Seongil (55488167400); Lee, Won Suk (56422689700); Kang, Youn Sik (24076263000); Park, Yong Woon (55494376800)","55488167400; 56422689700; 24076263000; 55494376800","Kinematic control algorithms and robust controller design for rescue robot","2014","International Conference on Control, Automation and Systems","","","6987858","637","642","5","10.1109/ICCAS.2014.6987858","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920188806&doi=10.1109%2fICCAS.2014.6987858&partnerID=40&md5=a205a272a4b9ef88c1ba6d3fd57576a7"
"Cieliebak M.; Flocchini P.; Prencipe G.; Santoro N.","Cieliebak, Mark (22333449500); Flocchini, Paola (7003771258); Prencipe, Giuseppe (57190866270); Santoro, Nicola (35303308800)","22333449500; 7003771258; 57190866270; 35303308800","Solving the robots gathering problem","2003","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","2719","","","1181","1196","15","10.1007/3-540-45061-0_90","https://www.scopus.com/inward/record.uri?eid=2-s2.0-35248814218&doi=10.1007%2f3-540-45061-0_90&partnerID=40&md5=9ecef8cf871592ffec5de4af12328966"
"Wang L.; Tian Y.; Sawaragi T.","Wang, Lei (36459026600); Tian, Yajie (7402840916); Sawaragi, Tetsuo (7005867498)","36459026600; 7402840916; 7005867498","Case-based automatic programming in robotic assembly production","2011","Industrial Robot","38","1","","86","96","10","10.1108/01439911111097887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551501731&doi=10.1108%2f01439911111097887&partnerID=40&md5=708841a568606b4c2e3d6038c1317dfc"
"Wen Y.; Lu G.; Zhao X.","Wen, Yuhua (34772153900); Lu, Guizhang (35100733200); Zhao, Xin (57191037616)","34772153900; 35100733200; 57191037616","Intelligent control method on primitive in micro-operation robot","2003","Proceedings - 2003 IEEE International Conference on Robotics, Intelligent Systems and Signal Processing, RISSP 2003","2003-October","","1285725","1002","1006","4","10.1109/RISSP.2003.1285725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990955244&doi=10.1109%2fRISSP.2003.1285725&partnerID=40&md5=3c6df8ae4682bea24ada8a08c4a763af"
"Riekki J.; Pajala J.; Tikanmäki A.; Röning J.","Riekki, Jukka (14009440600); Pajala, Jussi (56966634900); Tikanmäki, Antti (6507787249); Röning, Juha (6701703474)","14009440600; 56966634900; 6507787249; 6701703474","CAT Finland: Executing primitive tasks in parallel","1999","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","1604","","","396","401","5","10.1007/3-540-48422-1_36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0003180489&doi=10.1007%2f3-540-48422-1_36&partnerID=40&md5=510c949cb8ac5721cb23696d72a0ef86"
"Itoda K.; Watanabe N.; Kiyoki Y.","Itoda, Kota (57188736194); Watanabe, Norifumi (35390227200); Kiyoki, Yasushi (6701615368)","57188736194; 35390227200; 6701615368","A Simluation Model for Robot System Selection using Task Primitives for Expressing Actions and Data Structures","2022","Proceedings - 2022 13th International Congress on Advanced Applied Informatics Winter, IIAI-AAI-Winter 2022","","","","241","244","3","10.1109/IIAI-AAI-Winter58034.2022.00054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160933399&doi=10.1109%2fIIAI-AAI-Winter58034.2022.00054&partnerID=40&md5=808cd7b51c5d58673dd7af7c09c97f4f"
"Zheng P.; Li C.; Fan J.; Wang L.","Zheng, Pai (56352424300); Li, Chengxi (57226701156); Fan, Junming (57252702200); Wang, Lihui (55080150600)","56352424300; 57226701156; 57252702200; 55080150600","A vision-language-guided and deep reinforcement learning-enabled approach for unstructured human-robot collaborative manufacturing task fulfilment","2024","CIRP Annals","73","1","","341","344","3","10.1016/j.cirp.2024.04.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190754943&doi=10.1016%2fj.cirp.2024.04.003&partnerID=40&md5=59c453e1931e912472e76b86b77a881b"
"Li M.; Kapoor A.; Taylor R.H.","Li, Ming (58363429600); Kapoor, Ankur (56234750900); Taylor, Russell H. (7405756438)","58363429600; 56234750900; 7405756438","A constrained optimization approach to virtual fixtures","2005","2005 IEEE/RSJ International Conference on Intelligent Robots and Systems, IROS","","","1545420","1408","1413","5","10.1109/IROS.2005.1545420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947402992&doi=10.1109%2fIROS.2005.1545420&partnerID=40&md5=f26b2427e97ba1ca098be2085b61856c"
"Marom S.; Meir R.; Braun E.; Gal A.; Kermany E.; Eytan D.","Marom, Shimon (7003418560); Meir, Ron (7006473464); Braun, Erez (7103207095); Gal, Asaf (57211370145); Kermany, Einat (25724326300); Eytan, Danny (35606972800)","7003418560; 7006473464; 7103207095; 57211370145; 25724326300; 35606972800","On the precarious path of reverse neuro-engineering","2009","Frontiers in Computational Neuroscience","3","MAY","5","","","","10.3389/neuro.10.005.2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350081617&doi=10.3389%2fneuro.10.005.2009&partnerID=40&md5=b029dc57d2843923319d92e3ac0cee3d"
"Skoglund A.; Iliev B.; Kadmiry B.; Palm R.","Skoglund, Alexander (22235391100); Iliev, Boyko (12787240900); Kadmiry, Bourhane (6603128296); Palm, Rainer (14623351700)","22235391100; 12787240900; 6603128296; 14623351700","Programming by demonstration of pick-and-place tasks for industrial manipulators using task primitives","2007","Proceedings of the 2007 IEEE International Symposium on Computational Intelligence in Robotics and Automation, CIRA 2007","","","4269863","368","373","5","10.1109/CIRA.2007.382863","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34948902815&doi=10.1109%2fCIRA.2007.382863&partnerID=40&md5=21b682480f31bfcec9737312cbde4704"
"Envall J.; Poranne R.; Coros S.","Envall, Jimmy (58251488500); Poranne, Roi (36634560200); Coros, Stelian (24536706700)","58251488500; 36634560200; 24536706700","Differentiable Task Assignment and Motion Planning","2023","IEEE International Conference on Intelligent Robots and Systems","","","","2049","2056","7","10.1109/IROS55552.2023.10341602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182523035&doi=10.1109%2fIROS55552.2023.10341602&partnerID=40&md5=75068a91166dd07d9915480694d1f5c0"
"Loizou S.G.; Kyriakopoulos K.J.","Loizou, Savvas G. (56236637200); Kyriakopoulos, Kostas J. (24172543400)","56236637200; 24172543400","Automated planning of motion tasks for multi-robot systems","2005","Proceedings of the 44th IEEE Conference on Decision and Control, and the European Control Conference, CDC-ECC '05","2005","","1582134","78","83","5","10.1109/CDC.2005.1582134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847202636&doi=10.1109%2fCDC.2005.1582134&partnerID=40&md5=a5f6982355830efe3e270c167657b0c6"
"Bjært Sørensen S.L.; Savarimuthu T.R.; Iturrate I.","Bjært Sørensen, Simon Lyck (58653564200); Savarimuthu, Thiusius Rajeeth (35788432200); Iturrate, Iñigo (56028035000)","58653564200; 35788432200; 56028035000","Robot Task Primitive Segmentation from Demonstrations Using Only Built-in Kinematic State and Force-Torque Sensor Data","2023","IEEE International Conference on Automation Science and Engineering","2023-August","","","","","","10.1109/CASE56687.2023.10260448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174409989&doi=10.1109%2fCASE56687.2023.10260448&partnerID=40&md5=9ab18b00ce5366e3288ddc4840a819be"
"Aydin Kubilay Kaan","Aydin, Kubilay Kaan (36911136700)","36911136700","Fuzzy representation of grasping modes","1996","Proceedings of the Mediterranean Electrotechnical Conference - MELECON","1","","","182","185","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030367802&partnerID=40&md5=2dc9d6927525e9645921fd23d9f3dc2d"
"Bentivegna D.C.; Atkeson C.G.; Ude A.; Cheng G.","Bentivegna, Darrin C. (6603314042); Atkeson, Christopher G. (35560635200); Ude, Aleš (6701345288); Cheng, Gordon (10243873000)","6603314042; 35560635200; 6701345288; 10243873000","LEARNING to ACT from OBSERVATION and PRACTICE","2004","International Journal of Humanoid Robotics","1","4","","585","611","26","10.1142/S0219843604000307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250645111&doi=10.1142%2fS0219843604000307&partnerID=40&md5=e71d323ff53be8f1b08c8c5cfe9f6922"
"Suddrey G.; Lehnert C.; Eich M.; Maire F.; Roberts J.","Suddrey, Gavin (57031893500); Lehnert, Christopher (36463779100); Eich, Markus (26430801800); Maire, Frederic (8889369300); Roberts, Jonathan (57867853500)","57031893500; 36463779100; 26430801800; 8889369300; 57867853500","Teaching Robots Generalizable Hierarchical Tasks Through Natural Language Instruction","2017","IEEE Robotics and Automation Letters","2","1","7506292","201","208","7","10.1109/LRA.2016.2588584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057755759&doi=10.1109%2fLRA.2016.2588584&partnerID=40&md5=de08ab3a3cf0d91aa7250143c81be8a0"
"Pan Z.; Yu Y.","Pan, Zaolin (57221966145); Yu, Yantao (57192163569)","57221966145; 57192163569","Learning multi-granularity task primitives from construction videos for human-robot collaboration","2023","30th EG-ICE: International Conference on Intelligent Computing in Engineering 2023","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207216753&partnerID=40&md5=c0642d27a81410ce76e77250c9a3b76a"
"Ueno Haruki","Ueno, Haruki (7401546238)","7401546238","Development of autonomous human-type service robot","1996","Robot Tokyo","","109","","101","108","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030105307&partnerID=40&md5=13cf4f44a94f06446e362d57e631d05c"
"Backes P.G.","Backes, Paul G. (7003861192)","7003861192","Dual-arm supervisory and shared control task description and execution","1994","Robotics and Autonomous Systems","12","1-2","","29","54","25","10.1016/0921-8890(94)90045-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028392781&doi=10.1016%2f0921-8890%2894%2990045-0&partnerID=40&md5=4cac192572e3e8494b1f1913fd920922"
"Ventura Rodrigo; Aparicio Pedro; Lima Pedro; Pinto-Ferreira Carlos","Ventura, Rodrigo (7102796668); Aparicio, Pedro (7004756312); Lima, Pedro (35550404900); Pinto-Ferreira, Carlos (56617017500)","7102796668; 7004756312; 35550404900; 56617017500","SocRob - a society of cooperative mobile robots","1998","Proceedings of the IEEE International Conference on Systems, Man and Cybernetics","4","","","3319","3324","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032317979&partnerID=40&md5=9eddbd5a252d0ae60ee58756b82e9805"
"Pan Z.; Yu Y.","Pan, Zaolin (57221966145); Yu, Yantao (57192163569)","57221966145; 57192163569","Learning multi-granularity task primitives from construction videos for human-robot collaboration","2024","Computing in Civil Engineering 2023: Data, Sensing, and Analytics - Selected Papers from the ASCE International Conference on Computing in Civil Engineering 2023","","","","674","681","7","10.1061/9780784485224.081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184280820&doi=10.1061%2f9780784485224.081&partnerID=40&md5=4c596785913ae2ee04ccb8327f16c5bb"
"Montague K.; Hart E.; Paechter B.","Montague, Kirsty (58251574100); Hart, Emma (8339911500); Paechter, Ben (8883618900)","58251574100; 8339911500; 8883618900","A Hierarchical Approach to Evolving Behaviour-Trees for Swarm Control","2024","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","14634 LNCS","","","178","193","15","10.1007/978-3-031-56852-7_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189618455&doi=10.1007%2f978-3-031-56852-7_12&partnerID=40&md5=876b6bf225cb659a117a062e919aa8ef"
