title,authors,year,journal,doi,abstract,keywords,,,,,,,,,,,,,
Team RoboSimian: Semi-autonomous Mobile Manipulation at the 2015 DARPA Robotics Challenge Finals,"Karumanchi, S.; Edelberg, K.; Baldwin, I.; Nash, J.; Reid, J.; Bergh, C.; Leichty, J.; Carpenter, K.; Shekels, M.; Gildner, M.; Newill-Smith, D.; Carlton, J.; Koehler, J.; Dobreva, T.; Frost, M.; Hebert, P.; Borders, J.; Ma, J.; Douillard, B.; Backes, P.; Kennedy, B.; Satzinger, B.; Lau, C.; Byl, K.; Shankar, K.; Burdick, J.",2017,,10.1002/rob.21676,,,,,,,,,,,,,,,
Door-opening behavior of an autonomous mobile manipulator by sequence of action primitives,"Nagatani, K.; Yuta, S.",1996,,10.1002/(sici)1097-4563(199611)13:11<709::aid-rob3>3.0.co,2-z,,,,,,,,,,,,,,
Intelligent assistance for older adults via an admittance-controlled wheeled mobile manipulator with task-dependent end-effectors,"Ding, L.; Xing, H.; Torabi, A.; Mehr, J.K.; Sharifi, M.; Gao, H.; Mushahwar, V.K.; Tavakoli, M.",2022,,10.1016/j.mechatronics.2022.102821,,,,,,,,,,,,,,,
Vision-Language-Action Model-Based Event-Triggered Admittance Control of a Mobile Manipulator for Power Substation Live-Maintaining,"Yang, Y.; Li, Z.; Hu, Z.",2026,,10.1109/tfuzz.2025.3647919,,,,,,,,,,,,,,,
Planning for manipulation with adaptive motion primitives,"Cohen, B.J.; Subramanian, G.; Chitta, S.; Likhachev, M.",2011,,10.1109/icra.2011.5980550,,,,,,,,,,,,,,,
Search-based planning for manipulation with motion primitives,"Cohen, B.J.; Chitta, S.; Likhachev, M.",2010,,10.1109/robot.2010.5509685,,,,,,,,,,,,,,,
Learning and Generalizing Cooperative Manipulation Skills Using Parametric Dynamic Movement Primitives,"Kim, H.; Oh, C.; Jang, I.; Park, S.; Seo, H.; Kim, H.J.",2022,,10.1109/tase.2022.3141460,,,,,,,,,,,,,,,
Robot learning from demonstration by constructing skill trees,"Konidaris, G.; Kuindersma, S.; Grupen, R.; Barto, A.",2012,,10.1177/0278364911428653,,,,,,,,,,,,,,,
Coordinating mobile manipulator's motion to produce stable trajectories on uneven terrain based on feasible acceleration count,"Singh, A.K.; Krishna, K.M.",2013,,10.1109/iros.2013.6697080,,,,,,,,,,,,,,,
Design and development of a software architecture for autonomous mobile manipulators in industrial environments,"Rovida, F.; Krüger, V.",2015,,10.1109/icit.2015.7125585,,,,,,,,,,,,,,,
Skin-Machine Interface with Multimodal Contact Motion Classifier,"Confente, A.; Jin, T.; Kobayashi, T.; Guadarrama-Olvera, J.R.; Cheng, G.",2025,,10.1109/humanoids65713.2025.11203047,,,,,,,,,,,,,,,
An Integrated Framework for Cooperative Aerial Manipulators in Unknown Environments,"Lee, H.; Kim, H.; Kim, W.; Jin Kim, H.",2018,,10.1109/lra.2018.2807486,,,,,,,,,,,,,,,
Reinforcement learning of dual-arm cooperation for a mobile manipulator with sequences of dynamical movement primitives,"Deng, M.; Hu, Y.; Li, Z.",2017,,10.1109/icarm.2017.8273159,,,,,,,,,,,,,,,
Adaptive Stiffness Control for Series Elastic Actuators in Robotic Systems Using Dynamic Systems,"Guo, K.; Lu, Z.; Tan, Z.",2026,,10.1111/coin.70163,,,,,,,,,,,,,,,
PRF: A Program Reuse Framework for Automated Programming by Learning from Existing Robot Programs,"Toner, T.; Tilbury, D.M.; Barton, K.",2024,,10.3390/robotics13080118,,,,,,,,,,,,,,,
A combined learning and optimization framework to transfer human whole-body loco-manipulation skills to mobile manipulators,"Zhao, J.; Tassi, F.; Huang, Y.; De Momi, E.; Ajoudani, A.",2025,,10.1016/j.robot.2025.104958,,,,,,,,,,,,,,,
Learning From Human Demonstrations for Wheel Mobile Manipulator: An Unscented Model Predictive Control Approach,"Qin, D.; Liu, A.; Xu, J.; Zhang, W.-A.; Yu, L.",2023,,10.1109/tnnls.2022.3171595,,,,,,,,,,,,,,,
An Ergo-Interactive Framework for Human-Robot Collaboration Via Learning from Demonstration,"Liao, Z.; Lorenzini, M.; Leonori, M.; Zhao, F.; Jiang, G.; Ajoudani, A.",2024,,10.1109/lra.2023.3328366,,,,,,,,,,,,,,,
Towards Learning of Generic Skills for Robotic Manipulation,"Metzen, J.H.; Fabisch, A.; Senger, L.; de Gea Fernández, J.; Kirchner, E.A.",2014,,10.1007/s13218-013-0280-1,,,,,,,,,,,,,,,
Robot planning and control,"Khatib, O.; Quinlan, S.; Williams, D.",1997,,10.1016/s0921-8890(96)00078-4,,,,,,,,,,,,,,,
Reactive Whole-body Locomotion-integrated Manipulation Based on Combined Learning and Optimization,"Zhao, J.; Teng, T.; De Momi, E.; Ajoudani, A.",2025,,10.1007/s11633-024-1538-9,,,,,,,,,,,,,,,
"A Hierarchical Manipulation Planning Framework Combining Striking, Pushing, and Pick & Place Motion Primitives","Kotecha, P.; Sinha, P.; Govindan, N.",2024,,10.1109/case59546.2024.10711645,,,,,,,,,,,,,,,
Team NimbRo at MBZIRC 2017: Autonomous valve stem turning using a wrench,"Schwarz, M.; Droeschel, D.; Lenz, C.; Periyasamy, A.S.; Puang, E.Y.; Razlaw, J.; Rodriguez, D.; Schüller, S.; Schreiber, M.; Behnke, S.",2019,,10.1002/rob.21826,,,,,,,,,,,,,,,
Inverse kinematics and planning/control co-design method of redundant manipulator for precision operation: Design and experiments,"Ning, YM; Li, TJ; Du, WQ; Yao, C; Zhang, Y; Shao, JS",2023,,10.1016/j.rcim.2022.102457,,,,,,,,,,,,,,,
"ANUBIS: A Compact, Low-Cost, Compliant Humanoid Mobile Manipulation Robot",T. Kang, J. Kim, S. Nasrat, D. Song, G. Ahn, M. Jo, S. Lee, S. -J. Yi,2025,,10.1109/humanoids65713.2025.11203066,,,,,,,,
Designing strategy and implementation of mobile manipulator control system for opening door,K. Nagatani, S. Yuta,1996,,10.1109/robot.1996.506591,,,,,,,,,,,,,,
Object Pre-Grasp Configuration of a Robot Articulated Hand in a Virtual Environment,A. Bouachari, J. F. Brethé, A. Haddad,2018,,10.1109/siva.2018.8660970,,,,,,,,,,,,,
"Motion design for autonomous mobile manipulator based on programming style ""action primitive""",K. Nagatani, Y. Tanaka,2000,,10.1109/iecon.2000.973183,,,,,,,,,,,,,,
Cart pushing with a mobile manipulation system: Towards navigation with moveable objects,J. Scholz, S. Chitta, B. Marthi, M. Likhachev,2011,,10.1109/icra.2011.5980288,,,,,,,,,,,,
Pattern Analysis and Parameters Optimization of Dynamic Movement Primitives for Learning Unknown Trajectories,M. Li, Z. Yang, F. Zha, X. Wang, P. Wang, W. Guo, D. Caldwell, F. Chen,2020,,10.1109/iros45743.2020.9340702,,,,,,,,
Cooperative Manipulation for a Mobile Dual-Arm Robot Using Sequences of Dynamic Movement Primitives,T. Zhao, M. Deng, Z. Li, Y. Hu,2020,,10.1109/tcds.2018.2868921,,,,,,,,,,,,
SpotLight: Robotic Scene Understanding Through Interaction and Affordance Detection,T. Engelbracht, R. Zurbrügg, M. Pollefeys, H. Blum, Z. Bauer,2025,,10.1109/humanoids65713.2025.11203097,,,,,,,,,,,
Navigation in three-dimensional cluttered environments for mobile manipulation,A. Hornung, M. Phillips, E. Gil Jones, M. Bennewitz, M. Likhachev, S. Chitta,2012,,10.1109/icra.2012.6225029,,,,,,,,,,
Intuitive bimanual telemanipulation under communication restrictions by immersive 3D visualization and motion tracking,T. Rodehutskors, M. Schwarz, S. Behnke,2015,,10.1109/humanoids.2015.7363547,,,,,,,,,,,,,
Obstacle Avoidance Using Dynamic Movement Primitives and Reinforcement Learning,D. Urbaniak, A. Agostini, P. Ramon, J. Rosell, R. Suárez, M. Suppa,2026,,10.1109/lra.2026.3671568,,,,,,,,,,
CARGO: A Mobile Manipulator Solution for Container Unloading,M. S. Lopes, A. Cordeiro, R. B. Sousa, J. A. Beça, P. Costa, J. P. C. de Souza, M. F. Silva,2026,,10.1109/icara69401.2026.11480416,,,,,,,,,
Learning Category-level Last-meter Navigation from RGB Demonstrations of a Single-instance,T. -H. Lee, F. Mahmudova, K. Desingh,2026,,10.1109/lra.2026.3707352,,,,,,,,,,,,,
Reactive Integrated Mission and Motion Planning for Mobile Robotic Manipulators,A. Partovi, R. R. da Silva, H. Lin,2018,,10.23919/acc.2018.8431866,,,,,,,,,,,,,
Comparing motion generation and motion recall for everyday robotic tasks,C. Lopera, H. Tomé, F. Stulp,2012,,10.1109/humanoids.2012.6651512,,,,,,,,,,,,,
Comparing motion generation and motion recall for everyday mobile manipulation tasks,C. Lopera, H. Tomé, A. R. Tsouroukdissian, F. Stulp,2012,,10.1109/iros.2012.6386274,,,,,,,,,,,,
Planning with adaptive dimensionality for mobile manipulation,K. Gochev, A. Safonova, M. Likhachev,2012,,10.1109/icra.2012.6225228,,,,,,,,,,,,,
Preview coordination: An enhanced execution model for online scheduling of mobile manipulation tasks,E. Scioni, M. Klotzbuecher, T. De Laet, H. Bruyninckx, M. Bonfè,2013,,10.1109/iros.2013.6697193,,,,,,,,,,,
Intuitive skill-level programming of industrial handling tasks on a mobile manipulator,M. R. Pedersen, D. L. Herzog, V. Krüger,2014,,10.1109/iros.2014.6943203,,,,,,,,,,,,,
Towards Robotic Laboratory Automation Plug & Play: LAPP Pilot Implementation with the mobERT Mobile Manipulator,Á. Wolf, S. Beck, P. Zsoldos, P. Galambos, K. Széll,2024,,10.1109/sisy62279.2024.10737581,,,,,,,,,,,
Towards Time-Optimal Trajectory Planning for Pick-and-Transport Operation with a Mobile Manipulator,S. Thakar, L. Fang, B. Shah, S. Gupta,2018,,10.1109/coase.2018.8560446,,,,,,,,,,,,
Precise Mobile Manipulation of Small Everyday Objects,A. Gupta, R. Sathua, S. Gupta,2026,,10.1109/lra.2026.3656784,,,,,,,,,,,,,
"Integrating indoor mobility, object manipulation, and intuitive interaction for domestic service tasks",J. Stückler, S. Behnke,2009,,10.1109/ichr.2009.5379529,,,,,,,,,,,,,,
Hierarchical planning architectures for mobile manipulation tasks in indoor environments,R. A. Knepper, S. S. Srinivasa, M. T. Mason,2010,,10.1109/robot.2010.5509669,,,,,,,,,,,,,
Parameter-Free Segmentation of Robot Movements With Cross-Correlation Using Different Similarity Metrics,W. Carvalho, M. Elkoudi, B. Hertel, R. Azadeh,2025,,10.1109/ur65550.2025.11078070,,,,,,,,,,,,
Planning and Control for Collision-Free Cooperative Aerial Transportation,H. Lee, H. Kim, H. J. Kim,2018,,10.1109/tase.2016.2605707,,,,,,,,,,,,,
Learning and performing place-based mobile manipulation,F. Stulp, A. Fedrizzi, M. Beetz,2009,,10.1109/devlrn.2009.5175510,,,,,,,,,,,,,
Collision-Free Path Planning for Cooperative Aerial Manipulators Under Velocity and Curvature Constraints,H. Lee, C. Y. Son, H. J. Kim,2019,,10.1109/access.2019.2946273,,,,,,,,,,,,,
Hybrid driving-stepping locomotion with the wheeled-legged robot Momaro,M. Schwarz, T. Rodehutskors, M. Schreiber, S. Behnke,2016,,10.1109/icra.2016.7487776,,,,,,,,,,,,
pc-dbCBS: Kinodynamic Motion Planning of Physically-Coupled Robot Teams,K. Wahba, W. Hönig,2025,,10.1109/lra.2025.3607267,,,,,,,,,,,,,,
On the Local Planners in the RRT* for Dynamical Systems and Their Reusability for Compound Cost Functionals,I. Becerra, H. Yervilla-Herrera, E. Antonio, R. Murrieta-Cid,2022,,10.1109/tro.2021.3098244,,,,,,,,,,,,
Unified GPU voxel collision detection for mobile manipulation planning,A. Hermann, F. Drews, J. Bauer, S. Klemm, A. Roennau, R. Dillmann,2014,,10.1109/iros.2014.6943148,,,,,,,,,,
Open robotics research using web-based knowledge services,M. Beetz, D. Beßler, J. Winkler, J. -H. Worch, F. Bálint-Benczédi, G. Bartels, A. Billard, A. K. Bozcuoğlu, Zhou Fang, N. Figueroa, A. Haidu, H. Langer, A. Maldonado, A. L. P. Ureche, M. Tenorth, T. Wiedemeyer,2016,,10.1109/icra.2016.7487749
"A single planner for a composite task of approaching, opening and navigating through non-spring and spring-loaded doors",S. Gray, S. Chitta, V. Kumar, M. Likhachev,2013,,10.1109/icra.2013.6631117,,,,,,,,,,,,
Dynamic Multi-Heuristic A*,F. Islam, V. Narayanan, M. Likhachev,2015,,10.1109/icra.2015.7139515,,,,,,,,,,,,,
Robust shared autonomy for mobile manipulation with continuous scene monitoring,W. Merkt, Y. Yang, T. Stouraitis, C. E. Mower, M. Fallon, S. Vijayakumar,2017,,10.1109/coase.2017.8256092,,,,,,,,,,
Kinesthetic teaching via Fast Marching Square,J. V. Gómez, D. Álvarez, S. Garrido, L. Moreno,2012,,10.1109/iros.2012.6385497,,,,,,,,,,,,
Accounting for Part Pose Estimation Uncertainties during Trajectory Generation for Part Pick-Up Using Mobile Manipulators,S. Thakar, P. Rajendran, V. Annem, A. Kabir, S. Gupta,2019,,10.1109/icra.2019.8793501,,,,,,,,,,,
Supervised Autonomous Locomotion and Manipulation for Disaster Response with a Centaur-Like Robot,T. Klamt, D. Rodriguez, M. Schwarz, C. Lenz, D. Pavlichenko, D. Droeschel, S. Behnke,2018,,10.1109/iros.2018.8594509,,,,,,,,,
How to Prompt Your Robot: A PromptBook for Manipulation Skills with Code as Policies,M. G. Arenas, T. Xiao, S. Singh, V. Jain, A. Ren, Q. Vuong, J. Varley, A. Herzog, I. Leal, S. Kirmani, M. Prats, D. Sadigh, V. Sindhwani, K. Rao, J. Liang, A. Zeng,2024,,10.1109/icra57147.2024.10610784
Linear Time-Varying MPC for Nonprehensile Object Manipulation with a Nonholonomic Mobile Robot,F. Bertoncelli, F. Ruggiero, L. Sabattini,2020,,10.1109/icra40945.2020.9197173,,,,,,,,,,,,,
Search-based planning for dual-arm manipulation with upright orientation constraints,B. Cohen, S. Chitta, M. Likhachev,2012,,10.1109/icra.2012.6225008,,,,,,,,,,,,,
In the Wild Ungraspable Object Picking with Bimanual Nonprehensile Manipulation,A. Wu, D. Kruse,2025,,10.1109/icra55743.2025.11128490,,,,,,,,,,,,,,
"Push Smarter, Not Harder: Hierarchical RL-Diffusion Policy for Efficient Nonprehensile Manipulation",S. Caro, S. L. Smith,2026,,10.1109/lra.2026.3692041,,,,,,,,,,,,,,
Blending Primitive Policies in Shared Control for Assisted Teleoperation,G. Maeda,2022,,10.1109/icra46639.2022.9812414,,,,,,,,,,,,,,,
Internet-based telerobotics of mobile manipulators: Application on RobuTER/ULM,"Khiter, B.; Hentout, A.; Boutellaa, E.; Benbouali, M.R.; Bouzouia, B.",2012,,10.1007/978-3-642-33515-0_62,,,,,,,,,,,,,,,
WebRTC-based MOSR remote control of mobile manipulators,"Tiberkak, A.; Hentout, A.; Belkhir, A.",2023,,10.1007/s41315-023-00281-3,,,,,,,,,,,,,,,
A vision-language-guided and deep reinforcement learning-enabled approach for unstructured human-robot collaborative manufacturing task fulfilment,"Zheng, P.; Li, C.; Fan, J.; Wang, L.",2024,,10.1016/j.cirp.2024.04.003,,,,,,,,,,,,,,,
A Learning Behavior Based Controller for Maintaining Balance in Robotic Locomotion,"Beranek, R.; Ahmadi, M.",2016,,10.1007/s10846-015-0254-7,,,,,,,,,,,,,,,
"Behavior based control of robotic payloads for detection, neutralization, and interrogation of explosive hazards","Bruemmer, D.J.; Nielsen, C.W.; Hartley, R.S.; Green, J.",2010,,10.1117/12.855188,,,,,,,,,,,,,,,
Behaviour-based architecture for piloting mobile manipulator robots,"Hentout, A; Bouzouia, B; Toukal, Z",2007,,10.1109/isie.2007.4374931,,,,,,,,,,,,,,,
From biological inspiration toward next-generation manipulators: Manipulator control focused on human tasks,"Waarsing, BJW; Nuttin, M; Van Brussel, H; Corteville, B",2005,,10.1109/tsmcc.2004.840047,,,,,,,,,,,,,,,
A constraint-based behavior fusion mechanism on mobile manipulator,"Huang, S; Aertbeliën, E; Van Brussel, H",2008,,10.1109/lab-rs.2008.10,,,,,,,,,,,,,,,
Material Handling of a Mobile Manipulator Using an Eye-in-Hand Vision System,"Tsay, TIJ; Lai, YF; Hsiao, YL",2010,,10.1109/iros.2010.5649578,,,,,,,,,,,,,,,
Sparse Distributed Memory for Experience-Based Robot Manipulation,"Jockel, S; Lindner, F; Zhang, JW",2009,,10.1109/robio.2009.4913187,,,,,,,,,,,,,,,
Autonomously learning to visually detect where manipulation will succeed,"Nguyen, H; Kemp, CC",2014,,10.1007/s10514-013-9363-y,,,,,,,,,,,,,,,
Behavior-based Adaptive Dynamic Programming Method for Multiple Mobile Manipulators Coordination Control,"Zhang, ZY; Chen, JF; Mo, ZB; Chen, YT; Huang, J",2023,,10.1007/s12555-021-0904-4,,,,,,,,,,,,,,,
From Composable Models to Correct-by-Construction Software for Contact-Rich Robotic Mobile-Manipulation Tasks,"Schneider, S; Kalagaturu, V; Bruyninckx, H; Hochgeschwender, N",2025,,10.1109/lra.2025.3597864,,,,,,,,,,,,,,,
Sensor-based global planning for mobile robot navigation,"Garrido, S; Moreno, L; Blanco, D; Munoz, ML",2007,,10.1017/s0263574707003384,,,,,,,,,,,,,,,
A behavior based nonlinear multi-agent framework using a hybrid approach,"Chang, CF; Fu, LC",2006,,10.1080/02533839.2006.9671130,,,,,,,,,,,,,,,
A Stack-of-Tasks Approach Combined With Behavior Trees: A New Framework for Robot Control,"Domínguez, DC; Iannotta, M; Stork, JA; Schaffernicht, E; Stoyanov, T",2022,,10.1109/lra.2022.3211481,,,,,,,,,,,,,,,
A fuzzy behavior-based control system for manipulation,Z. Wasik, A. Safiotti,2002,,10.1109/irds.2002.1043983,,,,,,,,,,,,,,
Behavior-based mobile manipulation for drum sampling,D. C. MacKenzie, R. C. Arkin,1996,,10.1109/robot.1996.506521,,,,,,,,,,,,,,
Towards a Behavior Tree Based Robotic Skill Execution Framework for Human Robot Collaboration in Industrial Assembly,S. C. Akkaladevi, M. Propst, K. Deshpande, M. Hofmann, A. Pichler,2024,,10.1109/icara60736.2024.10553029,,,,,,,,,,,
Embedded CMOS imaging system for real-time robotic vision,H. Andrian, Kai-Tai Song,2005,,10.1109/iros.2005.1545544,,,,,,,,,,,,,,
An autonomic behavior-based software architecture for mobile manipulator,Shu Huang, E. Aertbelien, H. Van Brussel,2008,,10.1109/arso.2008.4653598,,,,,,,,,,,,,
A hybrid control architecture for mobile manipulation,L. Petersson, M. Egerstedt, H. I. Christensen,1999,,10.1109/iros.1999.811657,,,,,,,,,,,,,
Hand it over or set it down: A user study of object delivery with an assistive mobile manipulator,Y. S. Choi, T. Chen, A. Jain, C. Anderson, J. D. Glass, C. C. Kemp,2009,,10.1109/roman.2009.5326254,,,,,,,,,,
Autonomous Behavior Control for Quadruped Robots with Arms Based on MultiModal Large Language Model,S. Xiao, X. Shi, T. Chen, Y. Zhang, X. Rong, J. Meng,2025,,10.1109/icccr65461.2025.11072587,,,,,,,,,,
Behavior-based mobile manipulation inspired by the human example,B. J. W. Waarsing, M. Nuttin, H. Van Brussel,2003,,10.1109/robot.2003.1241607,,,,,,,,,,,,,
A Robotic Manipulation Framework Based on Large Model and Behavior Cloning,Z. Zhang, H. Lei, W. Shi, H. Wang, Q. Jiang, W. Luo, J. Huang,2025,,10.1109/icma65362.2025.11120750,,,,,,,,,
MPC-QP-Based Control Framework for Compliant Behavior of Humanoid Robots in Physical Collaboration with Humans,S. S. Kumbhar, P. Artemiadis,2025,,10.1109/icra55743.2025.11128037,,,,,,,,,,,,,,
Multi-tasking of competing behaviors on a robot manipulator,C. Groth, D. Henrich,2013,,10.1109/iros.2013.6696789,,,,,,,,,,,,,,
LLM-BT: Performing Robotic Adaptive Tasks based on Large Language Models and Behavior Trees,H. Zhou, Y. Lin, L. Yan, J. Zhu, H. Min,2024,,10.1109/icra57147.2024.10610183,,,,,,,,,,,
Analysis of a Behavior Based Nonholonomic Wheeled Mobile Robot Control With Hybrid System Approach,C. -f. Chang, L. -c. Fu,2006,,10.1109/sice.2006.315794,,,,,,,,,,,,,,
A behaviour-based blackboard architecture for mobile robots,H. Van Brussel, R. Moreas, A. Zaatri, M. Nuttin,1998,,10.1109/iecon.1998.724056,,,,,,,,,,,,
Research on ODMM Obstacle Avoidance Fuzzy Navigation Based on Ultrasonic-Absolute-Positioning,J. Lin, L. Baiyan, C. Xinyuan, Z. Hui, Z. Jie, Y. Jihong,2010,,10.1109/icece.2010.425,,,,,,,,,,
Behavior-based multi-robot collaboration for autonomous construction tasks,A. Stroupe, T. Huntsberger, A. Okon, H. Aghazarian, M. Robinson,2005,,10.1109/iros.2005.1545269,,,,,,,,,,,
Convergence Analysis of Hybrid Control Systems in the Form of Backward Chained Behavior Trees,P. Ögren,2020,,10.1109/lra.2020.3010747,,,,,,,,,,,,,,,
Bottom-Up Symbolic Control: Attractor-Based Planning and Behavior Synthesis,J. Fu, H. G. Tanner,2013,,10.1109/tac.2013.2277622,,,,,,,,,,,,,,
"A reasoning architecture for human-robot joint tasks using physics-,social-, and capability-based logic","Williams, K.; Breazeal, C.",2012,,10.1109/iros.2012.6385527,,,,,,,,,,,,,,,
Mobile Machine Tending with ROS2: Evaluation of system capabilities,"Heimann, O.; Niemann, S.; Vick, A.; Schorn, C.; Krüger, J.",2023,,10.1109/etfa54631.2023.10275686,,,,,,,,,,,,,,,
A simple yet smart head module for mobile manipulators,"Aguilar, M.; Ronquillo, D.; Rosell, J.; Palomo-Avellaneda, L.; Suárez, R.",2023,,10.1109/etfa54631.2023.10275645,,,,,,,,,,,,,,,
Reactive Planning for Mobile Manipulation Tasks in Unexplored Semantic Environments,"Vasilopoulos, V.; Kantaros, Y.; Pappas, G.J.; Koditschek, D.E.",2021,,10.1109/icra48506.2021.9561958,,,,,,,,,,,,,,,
Contact Optimization for Non-Prehensile Loco-Manipulation via Hierarchical Model Predictive Control,"Rigo, A.; Chen, Y.; Gupta, S.K.; Nguyen, Q.",2023,,10.1109/icra48891.2023.10160507,,,,,,,,,,,,,,,
FFRob: Leveraging symbolic planning for efficient task and motion planning,"Garrett, CR; Lozano-Pérez, T; Kaelbling, LP",2018,,10.1177/0278364917739114,,,,,,,,,,,,,,,
A Versatile Affordance Modeling Framework Using Screw Primitives to Increase Autonomy During Manipulation Contact Tasks,A. Pettinger, F. Alambeigi, M. Pryor,2022,,10.1109/lra.2022.3181732,,,,,,,,,,,,,
A Programming by Demonstration Approach for Robotic Manipulation with Model Predictive Interaction Control,T. Goller, A. Völz, K. Graichen,2024,,10.1109/ccta60707.2024.10666568,,,,,,,,,,,,,
Improving Robot Skills by Integrating Task and Motion Planning with Learning from Demonstration,"Watanabe, S.; Horn, G.; Torresen, J.; Ellefsen, K.O.",2024,,10.1109/iccr64365.2024.10927043,,,,,,,,,,,,,,,
A cyber-physical systems approach for controlling autonomous mobile manipulators,"Rovida, F.; Krueger, V.; Nalpantidis, L.; Charzoule, A.; Lasnier, A.; Petrick, R.; Crosby, M.; Toscano, C.; Veiga, G.",2016,,10.1142/9789813149137_0022,,,,,,,,,,,,,,,
Dynamic Object Goal Pushing with Mobile Manipulators Through Model-Free Constrained Reinforcement Learning,"Dadiotis, I.; Mittal, M.; Tsagarakis, N.; Hutter, M.",2025,,10.1109/icra55743.2025.11128166,,,,,,,,,,,,,,,
Gesture-Based Extraction of Robot Skill Parameters for Intuitive Robot Programming,"Pedersen, M.R.; Krüger, V.",2015,,10.1007/s10846-015-0219-x,,,,,,,,,,,,,,,
Motion Planning for an Underwater Mobile Manipulator by Exploiting Loose Coupling,"Youakim, D.; Dornbush, A.; Likhachev, M.; Ridao, P.",2018,,10.1109/iros.2018.8593604,,,,,,,,,,,,,,,
Efficient deformable registration of multi-resolution surfel maps for object manipulation skill transfer,"Stückler, J.; Behnke, S.",2014,,10.1109/icra.2014.6906975,,,,,,,,,,,,,,,
An Adaptive Framework for Manipulator Skill Reproduction in Dynamic Environments,"Donald, R.; Hertel, B.; Misenti, S.; Yan, G.; Azadeh, R.",2024,,10.1109/ur61395.2024.10597445,,,,,,,,,,,,,,,
Learn to Coordinate: A Whole-Body Learning from Demonstration Framework for Differential Drive Mobile Manipulators,"Yang, Y.; Huang, D.; Chen, C.; Zeng, C.; He, Y.; Yang, C.",2023,,10.1109/smc53992.2023.10394442,,,,,,,,,,,,,,,
Application of the Open Scalable Production System to Machine Tending of Additive Manufacturing Operations by a Mobile Manipulator,"Arrais, R.; Veiga, G.; Ribeiro, T.T.; Oliveira, D.; Fernandes, R.; Conceição, A.G.S.; Farias, P.C.M.A.",2019,,10.1007/978-3-030-30244-3_29,,,,,,,,,,,,,,,
Innovative mobile manipulator solution for modern flexible manufacturing processes,"Outón, J.L.; Villaverde, I.; Herrero, H.; Esnaola, U.; Sierra, B.",2019,,10.3390/s19245414,,,,,,,,,,,,,,,
Interactive segmentation for manipulation in unstructured environments,"Kenney, J.; Buckley, T.; Brock, O.",2009,,10.1109/robot.2009.5152393,,,,,,,,,,,,,,,
Development and Validation of Reconfigurable Autonomous Mobile Manipulator for Flexible Manufacturing Process,"Lee, O.; Kim, D.; Kim, Y.; Kim, W.; Lee, S.; Kim, D.Y.; Kim, Y.-O.; Kim, K.",2023,,10.23919/iccas59377.2023.10317019,,,,,,,,,,,,,,,
