Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Opponent-Aware Ball-Manipulation Skills for an Autonomous Soccer Robot,RoboCup 2016: Robot World Cup XX,,,,10.1007/978-3-319-68792-6_7,Philip CookseyJuan Pablo MendozaManuela Veloso,2017,https://link.springer.com/chapter/10.1007/978-3-319-68792-6_7,Conference paper
Gesture-Based Extraction of Robot Skill Parameters for Intuitive Robot Programming,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-015-0219-x,Mikkel Rath PedersenVolker Krüger,2015,https://link.springer.com/article/10.1007/s10846-015-0219-x,Article
Specification of Abstract Robot Skills in Terms of Control System Behaviours,"Progress in Automation, Robotics and Measuring Techniques",,,,10.1007/978-3-319-15847-1_14,Tomasz KornutaTomasz WiniarskiCezary Zieliński,2015,https://link.springer.com/chapter/10.1007/978-3-319-15847-1_14,Conference paper
Framework for Learning and Adaptation of Humanoid Robot Skills to Task Constraints,ROBOT2013: First Iberian Robotics Conference,,,,10.1007/978-3-319-03413-3_41,Daniel Hernández GarcíaConcepción A. MonjeCarlos Balaguer,2014,https://link.springer.com/chapter/10.1007/978-3-319-03413-3_41,Chapter
Robot Skill Acquisition by Demonstration and Explorative Learning,New Trends in Medical and Service Robots,,,,10.1007/978-3-319-05431-5_11,Bojan NemecAles Ude,2014,https://link.springer.com/chapter/10.1007/978-3-319-05431-5_11,Chapter
Investigating the Effect of a Robotic Tutor on Learner Perception of Skill Based Feedback,Social Robotics,,,,10.1007/978-3-319-11973-1_19,Aidan JonesGinevra CastellanoSusan Bull,2014,https://link.springer.com/chapter/10.1007/978-3-319-11973-1_19,Conference paper
Recognition and Representation of Robot Skills in Real Time: A Theoretical Analysis,Social Robotics,,,,10.1007/978-3-319-02675-6_13,Wei WangBenjamin JohnstonMary-Anne Williams,2013,https://link.springer.com/chapter/10.1007/978-3-319-02675-6_13,Conference paper
Towards Robot Skill Learning: From Simple Skills to Table Tennis,Machine Learning and Knowledge Discovery in Databases,,,,10.1007/978-3-642-40994-3_42,Jan PetersJens KoberKatharina MüllingOliver KrämerGerhard Neumann,2013,https://link.springer.com/chapter/10.1007/978-3-642-40994-3_42,Conference paper
Developmental Learning of Cooperative Robot Skills: A Hierarchical Multi-Agent Architecture,Perception-Action Cycle,,,,10.1007/978-1-4419-1452-1_16,John N. KarigiannisTheodoros RekatsinasCostas S. Tzafestas,2011,https://link.springer.com/chapter/10.1007/978-1-4419-1452-1_16,Chapter
Learning and Fast Object Recognition in Robot Skill Acquisition: A New Method,Advances in Pattern Recognition,,,,10.1007/978-3-642-15992-3_5,I. Lopez-JuarezR. Rios-CabreraM. Peña-CabreraR. Osorio-Comparan,2010,https://link.springer.com/chapter/10.1007/978-3-642-15992-3_5,Conference paper
A Skill-Based Autonomous Control Method for Robotic Teleoperation,Intelligent Robotics and Applications,,,,10.1007/978-3-540-88513-9_73,Xizhe ZangJie ZhaoHegao Cai,2008,https://link.springer.com/chapter/10.1007/978-3-540-88513-9_73,Conference paper
Natural Demonstration of Manipulation Skills for Multimodal Interactive Robots,Universal Access in Human-Computer Interaction. Ambient Interaction,,,,10.1007/978-3-540-73281-5_97,Markus HüserTim Baier-LöwensteinMarina SvagusaJianwei Zhang,2007,https://link.springer.com/chapter/10.1007/978-3-540-73281-5_97,Conference paper
Automatic Symbolic Modelling of Co-evolutionarily Learned Robot Skills,"Connectionist Models of Neurons, Learning Processes, and Artificial Intelligence",,,,10.1007/3-540-45720-8_96,Agapito LedezmaAntonio BerlangaRicardo Aler,2001,https://link.springer.com/chapter/10.1007/3-540-45720-8_96,Conference paper
Learning Robot Behaviour and Skills Based on Human Demonstration and Advice: The Machine Learning Paradigm,Robotics Research,,,,10.1007/978-1-4471-0765-1_28,R. DillmannO. RogallaM. EhrenmannR. ZölinerM. Bordegoni,2000,https://link.springer.com/chapter/10.1007/978-1-4471-0765-1_28,Conference paper
Learning Dextrous Manipulation Skills for Multifingered Robot Hands Using the Evolution Strategy,Autonomous Robots,,,,10.1023/A:1008822709073,Olac FuentesRandal C. Nelson,1998,https://link.springer.com/article/10.1023/A:1008822709073,Article
Learning Dextrous Manipulation Skills for Multifingered Robot Hands Using the Evolution Strategy,Machine Learning,,,,10.1023/A:1007409228154,Olac FuentesRandal C. Nelson,1998,https://link.springer.com/article/10.1023/A:1007409228154,Article
Learning Expert System for Robot Skills,Expert Systems in Engineering Applications,,,,10.1007/978-3-642-84048-7_14,Sukhan Lee,1993,https://link.springer.com/chapter/10.1007/978-3-642-84048-7_14,Chapter
