"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link"
"Ju Z.; Liu H.","Ju, Zhaojie (25655056800); Liu, Honghai (54958434200)","25655056800; 54958434200","Human hand motion analysis with multisensory information","2014","IEEE/ASME Transactions on Mechatronics","19","2","6461947","456","466","10","10.1109/TMECH.2013.2240312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895919785&doi=10.1109%2fTMECH.2013.2240312&partnerID=40&md5=d0b51ec822c43801d56f2e3dc5e37f68"
"Fuentes O.; Nelson R.C.","Fuentes, Olac (56240528900); Nelson, Randal C. (55451978200)","56240528900; 55451978200","Learning Dextrous Manipulation Skills for Multifingered Robot Hands Using the Evolution Strategy","1998","Autonomous Robots","5","3-4","","395","405","10","10.1023/a:1008822709073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032117387&doi=10.1023%2fa%3a1008822709073&partnerID=40&md5=3743887d4b0f42d002203e5b023333b1"
"Fuentes Olac; Nelson Randal C.","Fuentes, Olac (56240528900); Nelson, Randal C. (55451978200)","56240528900; 55451978200","Virtual tool approach to dextrous telemanipulation","1996","Proceedings - IEEE International Conference on Robotics and Automation","2","","","1700","1705","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029717088&partnerID=40&md5=1c3aca36e4c356434843af1a39c474d8"
"Zhou C.; Gao W.; Lu W.; Long Y.; Yang S.; Zhao L.; Huang B.; Zheng Y.","Zhou, Cheng (56352255600); Gao, Wentao (58773949600); Lu, Weifeng (57219596993); Long, Yanbo (58066728000); Yang, Sicheng (57222348358); Zhao, Longfei (57221279369); Huang, Bidan (56909201400); Zheng, Yu (55806181800)","56352255600; 58773949600; 57219596993; 58066728000; 57222348358; 57221279369; 56909201400; 55806181800","A Unified Trajectory Generation Algorithm for Dynamic Dexterous Manipulation","2023","IEEE International Conference on Intelligent Robots and Systems","","","","8712","8719","7","10.1109/IROS55552.2023.10342095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182522943&doi=10.1109%2fIROS55552.2023.10342095&partnerID=40&md5=7096eb46a08caa2897cde91239b84583"
"Zhang W.; Xia C.; Zhu X.; Liu H.; Liang B.","Zhang, Wuyi (57983184500); Xia, Chongkun (57200148752); Zhu, Xiaojun (56593870300); Liu, Houde (35174957200); Liang, Bin (57201841274)","57983184500; 57200148752; 56593870300; 35174957200; 57201841274","TacRot: A Parallel-Jaw Gripper with Rotatable Tactile Sensors for In-Hand Manipulation","2022","Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics","2022-October","","","423","429","6","10.1109/SMC53654.2022.9945388","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142769827&doi=10.1109%2fSMC53654.2022.9945388&partnerID=40&md5=c1850d5e6ed931aa2f8944d8442ce185"
"Kotecha P.; Sinha P.; Govindan N.","Kotecha, Prakrut (59396776700); Sinha, Priyansh (59396515700); Govindan, Nagamanikandan (57195629298)","59396776700; 59396515700; 57195629298","A Hierarchical Manipulation Planning Framework Combining Striking, Pushing, and Pick & Place Motion Primitives","2024","IEEE International Conference on Automation Science and Engineering","","","","956","961","5","10.1109/CASE59546.2024.10711645","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208249596&doi=10.1109%2fCASE59546.2024.10711645&partnerID=40&md5=509990b83af44cf08f730c7c4e145c7f"
"Fuentes O.; Nelson R.C.","Fuentes, Olac (56240528900); Nelson, Randal C. (55451978200)","56240528900; 55451978200","Learning Dextrous Manipulation Skills for Multifingered Robot Hands Using the Evolution Strategy","1998","Machine Learning","31","1-3","","223","237","14","10.1023/a:1007409228154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032043794&doi=10.1023%2fa%3a1007409228154&partnerID=40&md5=940bf071446e064e18e86bc3a6608198"
"Vasilopoulos V.; Kantaros Y.; Pappas G.J.; Koditschek D.E.","Vasilopoulos, Vasileios (56423704400); Kantaros, Yiannis (55308274900); Pappas, George J. (7102070429); Koditschek, Daniel E. (56249297100)","56423704400; 55308274900; 7102070429; 56249297100","Reactive Planning for Mobile Manipulation Tasks in Unexplored Semantic Environments","2021","Proceedings - IEEE International Conference on Robotics and Automation","2021-May","","","6385","6392","7","10.1109/ICRA48506.2021.9561958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115038920&doi=10.1109%2fICRA48506.2021.9561958&partnerID=40&md5=10ad3e467e908f961dcf42e69d174e04"
"Gutierrez-Giles A.; Satici A.C.; Donaire A.; Ruggiero F.; Lippiello V.; Siciliano B.","Gutierrez-Giles, Alejandro (55967204300); Satici, Aykut C. (35119578200); Donaire, Alejandro (23988729400); Ruggiero, Fabio (35106028700); Lippiello, Vincenzo (6603433534); Siciliano, Bruno (7006263661)","55967204300; 35119578200; 23988729400; 35106028700; 6603433534; 7006263661","Nonholonomic Rolling Nonprehensile Manipulation Primitive","2022","Springer Tracts in Advanced Robotics","144","","","159","205","46","10.1007/978-3-030-93290-9_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126485153&doi=10.1007%2f978-3-030-93290-9_7&partnerID=40&md5=9471183c0fc90f453dcae063b3d734b8"
"Goller T.; Volz A.; Graichen K.","Goller, Tim (57220038432); Volz, Andreas (57188844988); Graichen, Knut (8982088500)","57220038432; 57188844988; 8982088500","A Programming by Demonstration Approach for Robotic Manipulation with Model Predictive Interaction Control","2024","2024 IEEE Conference on Control Technology and Applications, CCTA 2024","","","","799","804","5","10.1109/CCTA60707.2024.10666568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204782895&doi=10.1109%2fCCTA60707.2024.10666568&partnerID=40&md5=e28f1e19bc4da2de0f4e896b6f3e2a0c"
"Li Z.; Wachsmuth S.; Fritsch J.; Sagerer G.","Li, Zhe (56075437100); Wachsmuth, Sven (6506127757); Fritsch, Jannik (56252990800); Sagerer, Gerhard (7004644220)","56075437100; 6506127757; 56252990800; 7004644220","Semi-supervised incremental learning of manipulative tasks","2007","Proceedings of IAPR Conference on Machine Vision Applications, MVA 2007","","","","73","77","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872553052&partnerID=40&md5=bfd3b3f6573ed8fa2d0002e87370615c"
"Cappelleri D.J.; Fink J.; Kumar V.","Cappelleri, David J. (6507578291); Fink, Jonathan (57156690600); Kumar, Vijay (57226667523)","6507578291; 57156690600; 57226667523","Modeling uncertainty for planar meso-scale manipulation and assembly","2006","Proceedings of the ASME Design Engineering Technical Conference","2006","","","","","10","10.1115/detc2006-99687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751325346&doi=10.1115%2fdetc2006-99687&partnerID=40&md5=2f334ee712b084e3fc9c2028fe0ecc7d"
"Xue T.; Razmjoo A.; Shetty S.; Calinon S.","Xue, Teng (58040446500); Razmjoo, Amirreza (57455020800); Shetty, Suhan (57222075128); Calinon, Sylvain (6507248533)","58040446500; 57455020800; 57222075128; 6507248533","Robust Manipulation Primitive Learning via Domain Contraction","2024","Proceedings of Machine Learning Research","270","","","794","809","15","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000728060&partnerID=40&md5=153a3d3f6864f196f5a0b991c186d8d2"
"Calli B.; Dollar A.M.","Calli, Berk (24605108500); Dollar, Aaron M. (8637648600)","24605108500; 8637648600","Vision-based precision manipulation with underactuated hands: Simple and effective solutions for dexterity","2016","IEEE International Conference on Intelligent Robots and Systems","2016-November","","7759173","1012","1018","6","10.1109/IROS.2016.7759173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006515903&doi=10.1109%2fIROS.2016.7759173&partnerID=40&md5=3517e6be94ecacf474c04343ffd0752d"
"Lee A.X.; Goldstein M.A.; Barratt S.T.; Abbeel P.","Lee, Alex X. (57190865877); Goldstein, Max A. (56742661500); Barratt, Shane T. (56743025800); Abbeel, Pieter (8269962600)","57190865877; 56742661500; 56743025800; 8269962600","A non-rigid point and normal registration algorithm with applications to learning from demonstrations","2015","Proceedings - IEEE International Conference on Robotics and Automation","2015-June","June","7139289","935","942","7","10.1109/ICRA.2015.7139289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938261199&doi=10.1109%2fICRA.2015.7139289&partnerID=40&md5=75e39ed9e3b2d050e3078391068a2cc6"
"Finkemeyer B.; Kröger T.; Wahl F.M.","Finkemeyer, Bernd (6507062124); Kröger, Torsten (6602856602); Wahl, Friedrich M. (7006166774)","6507062124; 6602856602; 7006166774","Manipulation primitives: An universal robot programming paradigma; [Aktionsprimitive: Ein universelles roboter-programmierparadigma]","2005","At-Automatisierungstechnik","53","4-5","","189","196","7","10.1524/auto.53.4.189.62256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875235845&doi=10.1524%2fauto.53.4.189.62256&partnerID=40&md5=d148c3d0276fe5d2e1000bb8c8469abc"
"Bugur S.; Oztop E.; Nagai Y.; Ugur E.","Bugur, Serkan (57195220747); Oztop, Erhan (8744870300); Nagai, Yukie (7402580650); Ugur, Emre (15021295100)","57195220747; 8744870300; 7402580650; 15021295100","Effect Regulated Projection of Robot's Action Space for Production and Prediction of Manipulation Primitives through Learning Progress and Predictability-Based Exploration","2021","IEEE Transactions on Cognitive and Developmental Systems","13","2","8792160","286","297","11","10.1109/TCDS.2019.2933900","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070693534&doi=10.1109%2fTCDS.2019.2933900&partnerID=40&md5=4bdcb5363e0b7eff6d33c4e7a5e5d8f5"
"Li Q.; Meier M.; Haschke R.; Ritter H.; Bolder B.","Li, Qiang (55703477400); Meier, Martin (39863205100); Haschke, Robert (8308080100); Ritter, Helge (55964297500); Bolder, Bram (23007613400)","55703477400; 39863205100; 8308080100; 55964297500; 23007613400","Object dexterous manipulation in hand based on finite state machine","2012","2012 IEEE International Conference on Mechatronics and Automation, ICMA 2012","","","6283419","1185","1190","5","10.1109/ICMA.2012.6283419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867598856&doi=10.1109%2fICMA.2012.6283419&partnerID=40&md5=c4cb6c44cd41e63d4d63e43e89cc7a67"
"Rilk M.; Kubus D.; Wahl F.M.; Eichhorn K.W.G.; Wagner I.; Bootz F.","Rilk, Markus (23390561800); Kubus, Daniel (16550432300); Wahl, Friedrich M. (7006166774); Eichhorn, Klaus W. G. (23389061400); Wagner, Ingo (23487121700); Bootz, Friedrich (7005500718)","23390561800; 16550432300; 7006166774; 23389061400; 23487121700; 7005500718","Demonstration of a prototype for robot assisted endoscopic sinus surgery","2010","Proceedings - IEEE International Conference on Robotics and Automation","","","5509388","1090","1091","1","10.1109/ROBOT.2010.5509388","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955825480&doi=10.1109%2fROBOT.2010.5509388&partnerID=40&md5=cd439ad5e731d493466bbe5bd924a6bd"
"Huang S.; Aertbeliën E.; Van Brussel H.; Bruyninckx H.","Huang, Shu (59049087900); Aertbeliën, Erwin (6507096344); Van Brussel, Hendrik (7007181567); Bruyninckx, Herman (7003332828)","59049087900; 6507096344; 7007181567; 7003332828","A behavior-based approach for task learning on mobile manipulators","2010","Joint 41st International Symposium on Robotics and 6th German Conference on Robotics 2010, ISR/ROBOTIK 2010","2","","","962","967","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881462307&partnerID=40&md5=e5459f42020d905199fb0ac0ce5b47f1"
"Moll M.; Goldberg K.; Erdmann M.A.; Fearing R.","Moll, Mark (15832207500); Goldberg, Ken (35453491100); Erdmann, Michael A. (7102615084); Fearing, Ron (7004262672)","15832207500; 35453491100; 7102615084; 7004262672","Aligning parts for micro assemblies","2002","Assembly Automation","22","1","","46","54","8","10.1108/01445150210416673","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036253592&doi=10.1108%2f01445150210416673&partnerID=40&md5=615f16e9e04b0bd5f8f4d96d7d3bddc6"
"Gupta M.; Müller J.; Sukhatme G.S.","Gupta, Megha (57199379666); Müller, Jörg (57213558832); Sukhatme, Gaurav S. (7003730870)","57199379666; 57213558832; 7003730870","Using Manipulation Primitives for Object Sorting in Cluttered Environments","2015","IEEE Transactions on Automation Science and Engineering","12","2","6973050","608","614","6","10.1109/TASE.2014.2361346","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027936420&doi=10.1109%2fTASE.2014.2361346&partnerID=40&md5=30478743510b11245a1149790576fc81"
"Gao K.; Yu J.","Gao, Kai (57219544587); Yu, Jingjin (55745955900)","57219544587; 55745955900","On the Utility of Buffers in Pick-n-Swap Based Lattice Rearrangement","2023","Proceedings - IEEE International Conference on Robotics and Automation","2023-May","","","5786","5792","6","10.1109/ICRA48891.2023.10161182","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168701880&doi=10.1109%2fICRA48891.2023.10161182&partnerID=40&md5=146a5efdbebe876ee6ad73d8646cfcce"
"Huang E.; Cheng X.; Mao Y.; Gupta A.; Mason M.T.","Huang, Eric (57195421177); Cheng, Xianyi (57207835135); Mao, Yuemin (58066558400); Gupta, Arnav (58066399100); Mason, Matthew T (7201987208)","57195421177; 57207835135; 58066558400; 58066399100; 7201987208","Autogenerated manipulation primitives","2023","International Journal of Robotics Research","42","6","","433","458","25","10.1177/02783649231170897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159646589&doi=10.1177%2f02783649231170897&partnerID=40&md5=af5f39b48a7d0234579a9a7debadd895"
"Cheng X.; Huang E.; Hou Y.; Mason M.T.","Cheng, Xianyi (57207835135); Huang, Eric (57195421177); Hou, Yifan (57211420444); Mason, Matthew T. (7201987208)","57207835135; 57195421177; 57211420444; 7201987208","Contact Mode Guided Motion Planning for Quasidynamic Dexterous Manipulation in 3D","2022","Proceedings - IEEE International Conference on Robotics and Automation","","","","2730","2736","6","10.1109/ICRA46639.2022.9811872","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136334125&doi=10.1109%2fICRA46639.2022.9811872&partnerID=40&md5=4d8c10c521ad824c9663619b1246fa7e"
"Lynch Kevin M.","Lynch, Kevin M. (7202687517)","7202687517","Toppling manipulation","1999","Proceedings - IEEE International Conference on Robotics and Automation","4","","","2551","2557","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032661146&partnerID=40&md5=3448e5efa88029353bd028d8f138ebfb"
"Pek C.; Muxfeldt A.; Kubus D.","Pek, Christian (57191522221); Muxfeldt, Arne (56502270100); Kubus, Daniel (16550432300)","57191522221; 56502270100; 16550432300","Simplifying synchronization in cooperative robot tasks - An enhancement of the Manipulation Primitive paradigm","2016","IEEE International Conference on Emerging Technologies and Factory Automation, ETFA","2016-November","","7733552","","","","10.1109/ETFA.2016.7733552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996559099&doi=10.1109%2fETFA.2016.7733552&partnerID=40&md5=246e957030de6062f673d1e7cb468c46"
"Shome R.; Tang W.N.; Song C.; Mitash C.; Kourtev H.; Yu J.; Boularias A.; Bekris K.E.","Shome, Rahul (56490601300); Tang, Wei N. (57195417221); Song, Changkyu (57192674387); Mitash, Chaitanya (57200628859); Kourtev, Hristiyan (57211920101); Yu, Jingjin (55745955900); Boularias, Abdeslam (23090275300); Bekris, Kostas E. (6506402335)","56490601300; 57195417221; 57192674387; 57200628859; 57211920101; 55745955900; 23090275300; 6506402335","Towards robust product packing with a minimalistic end-effector","2019","Proceedings - IEEE International Conference on Robotics and Automation","","","8793966","9007","9013","6","10.1109/ICRA.2019.8793966","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071438420&doi=10.1109%2fICRA.2019.8793966&partnerID=40&md5=8d877745c4202ae5703d8a3b96d0e6a5"
"Jin S.; Lian W.; Wang C.; Tomizuka M.; Schaal S.","Jin, Shiyu (57215560879); Lian, Wenzhao (57221093222); Wang, Changhao (57207943015); Tomizuka, Masayoshi (35567325500); Schaal, Stefan (7007171558)","57215560879; 57221093222; 57207943015; 35567325500; 7007171558","Robotic Cable Routing with Spatial Representation","2022","IEEE Robotics and Automation Letters","7","2","","5687","5694","7","10.1109/LRA.2022.3158377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126305258&doi=10.1109%2fLRA.2022.3158377&partnerID=40&md5=f29174189843cd6049856b7e4e7d49de"
"Finkemeyer B.; Kröger T.; Wahl F.M.","Finkemeyer, Bernd (6507062124); Kröger, Torsten (6602856602); Wahl, Friedrich M. (7006166774)","6507062124; 6602856602; 7006166774","Executing assembly tasks specified by manipulation primitive nets","2005","Advanced Robotics","19","5","","591","611","20","10.1163/156855305323383811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-21244465128&doi=10.1163%2f156855305323383811&partnerID=40&md5=d3e6ff57d3408cd57c181e69d4146ecf"
"Rojas N.; Ma R.R.; Dollar A.M.","Rojas, Nicolas (36606787800); Ma, Raymond R. (54791229500); Dollar, Aaron M. (8637648600)","36606787800; 54791229500; 8637648600","The GR2 Gripper: An Underactuated Hand for Open-Loop In-Hand Planar Manipulation","2016","IEEE Transactions on Robotics","32","3","7473889","763","770","7","10.1109/TRO.2016.2562122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971378974&doi=10.1109%2fTRO.2016.2562122&partnerID=40&md5=a8caab025eebbd74fa1ca6bfe33ef45c"
"Baum M.; Brock O.","Baum, Manuel (57014299600); Brock, Oliver (6602822080)","57014299600; 6602822080","Achieving robustness by optimizing failure behavior","2017","Proceedings - IEEE International Conference on Robotics and Automation","","","7989681","5806","5811","5","10.1109/ICRA.2017.7989681","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027990350&doi=10.1109%2fICRA.2017.7989681&partnerID=40&md5=ea1e6fd9c987a402f5be4d2999eed2f4"
"Dermy O.; Charpillet F.; Ivaldi S.","Dermy, Oriane (57191706648); Charpillet, Francois (6603910626); Ivaldi, Serena (26643860200)","57191706648; 6603910626; 26643860200","Multi-modal Intention Prediction with Probabilistic Movement Primitives","2019","Springer Proceedings in Advanced Robotics","7","","","181","196","15","10.1007/978-3-319-89327-3_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107075790&doi=10.1007%2f978-3-319-89327-3_14&partnerID=40&md5=5f8d221a1ebe53eea484944479772790"
"Yang S.-M.; Magnusson M.; Stork J.A.; Stoyanov T.","Yang, Shih-Min (57226130899); Magnusson, Martin (55947199500); Stork, Johannes A. (36464315800); Stoyanov, Todor (6602422245)","57226130899; 55947199500; 36464315800; 6602422245","Learning Extrinsic Dexterity with Parameterized Manipulation Primitives","2024","Proceedings - IEEE International Conference on Robotics and Automation","","","","5404","5410","6","10.1109/ICRA57147.2024.10611431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202434994&doi=10.1109%2fICRA57147.2024.10611431&partnerID=40&md5=2f648463623daea95b1505839d0e54b1"
"Kröger T.; Finkemeyer B.; Wahl F.M.","Kröger, Torsten (6602856602); Finkemeyer, Bernd (6507062124); Wahl, Friedrich M. (7006166774)","6602856602; 6507062124; 7006166774","A task frame formalism for practical implementations","2004","Proceedings - IEEE International Conference on Robotics and Automation","2004","5","","5218","5223","5","10.1109/robot.2004.1302546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042601144&doi=10.1109%2frobot.2004.1302546&partnerID=40&md5=c8bebea61dce47a762e6257e18b26db6"
